canonical_id,v1_score,v1_evidence,v1_reason,v2_score,v2_evidence,v2_reason,score_changed,crossed_main_threshold
1,0,,岗位职责和描述均未提及AI或数字技术，仅涉及传统银行渠道维护和销售。,0,,岗位职责为银行渠道维护、培训、市场活动和销售支持，未明示要求任何数字工具、信息系统、编程或AI技术。因此为0分，不是1分（无数字工具使用要求）。,False,False
2,0,,岗位为材料工程研发，未涉及AI或数字技术。,0,,岗位描述涉及材料工程的技术开发与项目管理，但未明示要求使用数字工具、软件、编程或AI技术。因此为0分，不是1分（无数字工具要求）。,False,False
3,0,,岗位为水电工程师，仅涉及传统电气操作，无数字技术内容。,0,,岗位职责为发电机组安装、故障诊断排除及水电维修，未明示要求使用数字工具、信息系统或编程。因此为0分，不是1分（无数字工具要求）。,False,False
4,0,,岗位为金融销售培训讲师，职责和描述均未提及AI或数字技术。,0,,岗位职责为金融销售培训、课程安排和产品销售培训，未明示要求使用数字工具、信息系统或编程。因此为0分，不是1分（无数字工具要求）。,False,False
5,2,"FPGA逻辑开发|控制软件无线电(SDR)芯片|算法研发|Verilog/VHDL|Quartus II,Modelism等软件",岗位核心为FPGA开发和算法研发，涉及软件和嵌入式技术，但未明确提及AI或高级算法。,2,FPGA逻辑开发|软硬件联调|FPGA逻辑架构的设计|Verilog/VHDL|FPGA时序优化、资源优化,岗位核心职责是FPGA逻辑开发与设计，属于核心数字技术（嵌入式/芯片逻辑），但未涉及AI/ML。因此为2分，不是1分（非辅助工具）或3分（无AI/ML）。,False,False
6,2,导航软件的维护及升级|卫星导航及惯性导航类应用软件的开发|VC开发环境|MFC|Windows API,岗位核心为软件开发，涉及导航软件和编程，但未提及AI或高级算法。,2,导航软件的维护及升级|卫星导航及惯性导航类应用软件的开发|VC开发环境|MFC进行开发|Windows API接口函数,岗位核心职责是软件开发，属于核心数字技术。因此为2分，不是1分（非辅助工具）或3分（无AI/ML）。,False,False
7,0,,岗位为物业管理，职责和描述均未涉及AI或数字技术。,0,,岗位职责为物业管理、费用收缴、团队管理等，未明示要求使用数字工具、信息系统或编程。因此为0分，不是1分（无数字工具要求）。,False,False
8,3,量化评估|设计量化/估值模型|在险值计算模型|MATLAB或其他数学和统计软件|期权、期货、结构性产品的定价、风险度量模型,岗位明确涉及量化模型设计和评估，使用数学和统计软件，属于高级算法和模型研发。,2,量化评估|设计量化/估值模型|在险值计算模型|回测方法|MATLAB或其他数学和统计软件,岗位核心职责是金融量化模型开发，属于高级数字模型，但未明确涉及AI/ML。因此为2分，不是1分（非辅助工具）或3分（无AI/ML研发）。,True,False
9,1,销售订单ERP录入,岗位涉及使用ERP系统进行订单录入，属于数字工具辅助工作，但核心是销售助理的协调与沟通。,1,销售订单ERP录入|熟练使用office办公软件,岗位核心是销售助理的订单、物流、库存、应收应付等业务操作，ERP和Office是辅助工具。移除这些工具后，销售助理的核心职责仍成立，因此为1分。不是0分，因为明确要求使用ERP和Office；不是2分，因为不涉及系统开发或核心数字技术产出。,False,False
10,1,日常质量数据收集及分析,岗位包含数据收集与分析，但仅为辅助质量管理工作，核心是质量体系维护与问题整改。,1,日常质量数据收集及分析,岗位核心是质量工程师的质量体系维护、NCR调查、技术交底等，数据收集分析是辅助手段。移除数据分析后，质量工程师的主要职责仍成立，因此为1分。不是0分，因为明确涉及数据收集分析；不是2分，因为数据分析不是核心产出，而是辅助质量工作。,False,False
11,1,熟练使用CAD及常用办公软件,岗位要求使用CAD和办公软件，但它们是辅助现场代表工作的工具，核心是专业技术与现场管理。,1,熟练使用CAD及常用办公软件,岗位是现场代表，核心职责是工程现场管理，CAD和办公软件是辅助工具。移除这些工具后，现场管理职责仍成立，因此为1分。不是0分，因为明确要求使用CAD和办公软件；不是2分，因为不涉及软件开发或核心数字技术。,False,False
12,1,基础数据分析能力,岗位要求基础数据分析能力，但主要用于运营支持和费用结算等辅助工作，非核心。,1,基础数据分析能力,岗位是营销支持专员，核心是运营服务、费用结算、协议管理等，基础数据分析是辅助技能。移除数据分析后，营销支持的核心职责仍成立，因此为1分。不是0分，因为明确要求数据分析能力；不是2分，因为数据分析不是核心产出，而是辅助运营。,False,False
13,0,,岗位描述为融资会计，涉及银行信贷和资金调配，未提及任何数字技术或AI相关内容。,0,,岗位是融资会计，描述中仅涉及财务基础知识、银行信贷业务和资金调配，未明示要求任何数字工具、信息系统或数据分析。因此为0分。不是1分，因为没有提及Office、ERP或任何数字工具的使用。,False,False
14,0,,行政内勤岗位，要求文案功底和办公软件使用，但办公软件是通用工具，无实质数字技术内容。,1,熟练使用各类办公软件,岗位是行政内勤，核心是行政管理、接待、文件起草和会务，办公软件是辅助工具。移除办公软件后，行政内勤的核心职责仍成立，因此为1分。不是0分，因为明确要求使用办公软件；不是2分，因为不涉及软件开发或核心数字技术。,True,False
15,0,,保单售后整理岗位，描述简单，未涉及任何数字技术或AI相关内容。,0,,岗位是保单售后整理，描述仅涉及客户支持和解决方案提供，未明示要求任何数字工具或技术。因此为0分。不是1分，因为没有提及Office、系统或数据分析等任何数字工具。,False,False
16,0,,客服理赔现场作业岗，要求农学背景和理赔流程处理，未提及数字技术或AI。,0,,岗位是客服理赔部现场作业岗，职责是理赔指引、咨询、流程执行和现场调查，未明示要求任何数字工具或技术。因此为0分。不是1分，因为没有提及Office、系统或数据分析等任何数字工具。,False,False
17,0,,岗位为质量检验员，职责涉及质量检验、记录整理和信息传递，无AI或数字技术内容。,0,,岗位职责为质量检验、记录整理、信息传递等，未明示要求使用数字工具、信息系统或编程。因此为0分，不是1分（无任何数字工具要求）。,False,False
18,0,,岗位为招聘经理，职责包括招聘、渠道管理和校园招聘，未涉及AI或数字技术。,0,,岗位职责为招聘执行、渠道管理、校园招聘等，未明示要求使用数字工具或系统。因此为0分，不是1分（无数字工具要求）。,False,False
20,0,,岗位为摩油销售，职责为渠道开发和市场信息收集，无AI或数字技术内容。,0,,岗位职责为渠道销售、市场信息收集等，未明示要求使用数字工具或系统。因此为0分，不是1分（无数字工具要求）。,False,False
21,1,"半导体晶圆生产工作|光刻,薄膜,刻蚀,湿法|电子类专业",岗位涉及半导体制造，使用数字工具和信息系统辅助生产，但核心是操作和维护，非AI或高级算法。,0,,岗位职责为半导体晶圆生产操作，未明示要求使用数字工具、编程或数据分析。因此为0分，不是1分（无数字工具要求）。,True,False
22,1,熟练使用财务软件,岗位为财务会计，要求熟练使用财务软件，数字工具为辅助工作。,1,熟练使用财务软件,岗位核心是财务会计，使用财务软件是辅助工具，非核心产出。因此为1分，不是0分（明确要求使用财务软件），也不是2分（非软件开发或核心数字技术）。,False,False
23,3,算法工程师|控制算法设计|算法实现|C/C++/Python编程|运动控制系统,岗位明确为算法工程师，涉及控制算法设计、实现和测试，使用C/C++/Python编程，属于高级算法研发。,2,控制算法设计|算法实现|C/C++/Python编程|运动控制系统及控制算法设计,岗位核心是控制算法设计与实现，属于非AI专业算法，是核心数字技术。因此为2分，不是1分（算法是核心产出而非辅助工具），也不是3分（未涉及AI/ML）。,True,False
24,0,,岗位为功能食品销售，职责为市场销售和客户维护，无AI或数字技术内容。,0,,岗位职责为功能食品销售，未明示要求使用数字工具或系统。因此为0分，不是1分（无数字工具要求）。,False,False
25,1,电脑办公软件|自动化工艺,岗位主要职责为工艺工程，使用电脑办公软件和推动自动化工艺仅为辅助性工具，非核心技术工作,1,熟练运用电脑办公软件,岗位核心是工艺工程，使用办公软件是辅助工具，非核心产出。因此为1分，不是0分（明确要求使用办公软件），也不是2分（非软件开发或核心数字技术）。,False,False
26,1,"熟悉电脑操作,MicrosoftOffice办公软件和ERP软件",岗位要求熟悉办公软件和ERP软件，但仅为辅助工具，核心工作是订单审核和工艺卡制作。,1,"熟悉电脑操作,MicrosoftOffice办公软件和ERP软件",岗位核心是订单审核、工艺卡制作等审单工作，电脑和ERP只是辅助工具，移除后审单仍可进行，因此为1分；未涉及软件开发或AI研发，故不是2或3分。,False,False
27,0,,岗位职责为安全管理、消防、环保等，未涉及AI或数字技术内容。,0,,岗位职责为安全管理、消防、应急等，未明示要求任何数字工具、编程或AI技术，因此为0分；不是1分，因为无任何数字工具使用要求。,False,False
29,0,,描述仅提及制造业相关岗位，无任何数字技术内容。,0,,仅提及制造业相关岗位经验，未明示任何数字工具或技术，因此为0分；不是1分，因为无任何数字工具使用要求。,False,False
30,1,熟练使用CAD、天正等软件,岗位要求使用CAD等设计软件，但核心是室内设计，软件仅为辅助工具。,1,熟练使用CAD、天正等软件,岗位核心是室内设计，CAD等软件是辅助设计工具，移除后设计工作仍可进行，因此为1分；未涉及软件开发或AI，故不是2或3分。,False,False
31,1,熟悉ERP/MES,岗位要求熟悉ERP/MES系统，但主要用于生产计划和供应链管理，属于辅助工具。,1,熟悉ERP/MES|具备ERP项目推动经验,岗位核心是生产运营管理，ERP/MES是辅助管理工具，移除后管理职责仍成立，因此为1分；未涉及系统开发或AI，故不是2或3分。,False,False
