canonical_id,score,evidence,reason,confidence,model,prompt_version,schema_version,prompt_fingerprint,stage,thinking,content_hash,label_status,input_tokens,output_tokens,primary_score,audit_score
1,0,,岗位职责为银行渠道维护、培训、市场活动和销售支持，未明示要求任何数字工具、信息系统、编程或AI技术。因此为0分，不是1分（无数字工具使用要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,4405614383b47c7f09120cae666bd6bed91cbf1b96a4f3790858835c23c9ab0b,llm_primary,3185,771,0,
2,0,,岗位描述涉及材料工程的技术开发与项目管理，但未明示要求使用数字工具、软件、编程或AI技术。因此为0分，不是1分（无数字工具要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,a9960da4837074c9b3fd9a381da5ca61934039f4fa5bb5f1a66e224a9e40694a,llm_primary,3185,771,0,
3,0,,岗位职责为发电机组安装、故障诊断排除及水电维修，未明示要求使用数字工具、信息系统或编程。因此为0分，不是1分（无数字工具要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,4a4b61cad58dbd75464846c1ccf0484a57e898e3e72833a4281c0a7fbf570718,llm_primary,3185,771,0,
4,0,,岗位职责为金融销售培训、课程安排和产品销售培训，未明示要求使用数字工具、信息系统或编程。因此为0分，不是1分（无数字工具要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,08012079da8c59189e6ca43f3888862f9b4ffccf6fca62ccd88a52b537ca8474,llm_primary,3185,771,0,
5,2,FPGA逻辑开发|软硬件联调|FPGA逻辑架构的设计|Verilog/VHDL|FPGA时序优化、资源优化,岗位核心职责是FPGA逻辑开发与设计，属于核心数字技术（嵌入式/芯片逻辑），但未涉及AI/ML。因此为2分，不是1分（非辅助工具）或3分（无AI/ML）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,c0dc331369112b9426020cc49a76b7250accdd093b5452161bd9d1f20d572b7f,llm_primary,3185,771,2,
6,2,导航软件的维护及升级|卫星导航及惯性导航类应用软件的开发|VC开发环境|MFC进行开发|Windows API接口函数,岗位核心职责是软件开发，属于核心数字技术。因此为2分，不是1分（非辅助工具）或3分（无AI/ML）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,0e407c069edbb64865096d1a22ca23b0a27078948214a2cda0781e9d6e657912,llm_primary,3185,771,2,2.0
7,0,,岗位职责为物业管理、费用收缴、团队管理等，未明示要求使用数字工具、信息系统或编程。因此为0分，不是1分（无数字工具要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,c319a9b8d4e89cd51dd6e72ab14ced8cfa9fa339c809712fd41d6450bda7fddf,llm_primary,3185,771,0,
8,2,量化评估|设计量化/估值模型|在险值计算模型|回测方法|MATLAB或其他数学和统计软件,岗位核心职责是金融量化模型开发，属于高级数字模型，但未明确涉及AI/ML。因此为2分，不是1分（非辅助工具）或3分（无AI/ML研发）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,8003ad6e616ce799f5ab889243511bf77cd006fd7ff499e45af3a4aca51f6526,llm_primary,3185,771,2,2.0
9,1,销售订单ERP录入|熟练使用office办公软件,岗位核心是销售助理的订单、物流、库存、应收应付等业务操作，ERP和Office是辅助工具。移除这些工具后，销售助理的核心职责仍成立，因此为1分。不是0分，因为明确要求使用ERP和Office；不是2分，因为不涉及系统开发或核心数字技术产出。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,c428755bc7c97e42ab23f0cfe12e3bed4aea66a774c0d1d62c423261f4e9532e,llm_primary,2559,855,1,
10,1,日常质量数据收集及分析,岗位核心是质量工程师的质量体系维护、NCR调查、技术交底等，数据收集分析是辅助手段。移除数据分析后，质量工程师的主要职责仍成立，因此为1分。不是0分，因为明确涉及数据收集分析；不是2分，因为数据分析不是核心产出，而是辅助质量工作。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,81b107a6bce840f0295655570d3338fb487fdf72be3016913d9b2f60788be538,llm_primary,2559,855,1,1.0
11,1,熟练使用CAD及常用办公软件,岗位是现场代表，核心职责是工程现场管理，CAD和办公软件是辅助工具。移除这些工具后，现场管理职责仍成立，因此为1分。不是0分，因为明确要求使用CAD和办公软件；不是2分，因为不涉及软件开发或核心数字技术。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,5ee9ff663aa353e294ae46590144a495e876bb7bcbf405cc418baaa98dd9737a,llm_primary,2559,855,1,1.0
12,1,基础数据分析能力,岗位是营销支持专员，核心是运营服务、费用结算、协议管理等，基础数据分析是辅助技能。移除数据分析后，营销支持的核心职责仍成立，因此为1分。不是0分，因为明确要求数据分析能力；不是2分，因为数据分析不是核心产出，而是辅助运营。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,8513a1db70c88c9db1473f4ee69953e6db812a110e8a4a70b324098a40eb44b7,llm_primary,2559,855,1,
13,0,,岗位是融资会计，描述中仅涉及财务基础知识、银行信贷业务和资金调配，未明示要求任何数字工具、信息系统或数据分析。因此为0分。不是1分，因为没有提及Office、ERP或任何数字工具的使用。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,8f5b6293715cc279348c54101cd7834eb64a76ad2fde00b180b1a57600787637,llm_primary,2559,855,0,
14,1,熟练使用各类办公软件,岗位是行政内勤，核心是行政管理、接待、文件起草和会务，办公软件是辅助工具。移除办公软件后，行政内勤的核心职责仍成立，因此为1分。不是0分，因为明确要求使用办公软件；不是2分，因为不涉及软件开发或核心数字技术。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,2a83d5b3919d66dbb97d213c8f2e5000185de967f1a9a063e95ae0b1e6d2db66,llm_primary,2559,855,1,
15,0,,岗位是保单售后整理，描述仅涉及客户支持和解决方案提供，未明示要求任何数字工具或技术。因此为0分。不是1分，因为没有提及Office、系统或数据分析等任何数字工具。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,14585f6f2d789d55f4854ef2125b31b02f63f3cb4fcfa19420aa5fb237edab28,llm_primary,2559,855,0,
