canonical_id,selection_reason,rule_score,primary_score,primary_evidence,primary_reason,primary_confidence,audit_score,audit_evidence,audit_confidence,audit_reason,adjudicated_score,adjudication_reason
6,rule_model_threshold_conflict,0,2,导航软件的维护及升级|卫星导航及惯性导航类应用软件的开发|VC开发环境|MFC进行开发|Windows API接口函数,岗位核心职责是软件开发，属于核心数字技术。因此为2分，不是1分（非辅助工具）或3分（无AI/ML）。,high,2,"负责部门现有导航软件的维护及升级|参与卫星导航及惯性导航类应用软件的开发|熟悉VC开发环境,能够使用MFC进行开发工作",high,岗位核心产出是软件开发，属于核心数字技术，但未涉及AI/ML，因此得2分而非1分（辅助工具）或3分（AI研发）,,
8,rule_model_threshold_conflict,0,2,量化评估|设计量化/估值模型|在险值计算模型|回测方法|MATLAB或其他数学和统计软件,岗位核心职责是金融量化模型开发，属于高级数字模型，但未明确涉及AI/ML。因此为2分，不是1分（非辅助工具）或3分（无AI/ML研发）。,high,2,设计量化/估值模型|在险值计算模型|期权、期货、结构性产品的定价、风险度量模型,high,岗位核心职责是金融量化建模，属于高级数字模型，但未明确涉及AI/ML，因此得2分而非1分（辅助）或3分（AI研发）,,
10,stratified_fill,0,1,日常质量数据收集及分析,岗位核心是质量工程师的质量体系维护、NCR调查、技术交底等，数据收集分析是辅助手段。移除数据分析后，质量工程师的主要职责仍成立，因此为1分。不是0分，因为明确涉及数据收集分析；不是2分，因为数据分析不是核心产出，而是辅助质量工作。,medium,1,日常质量数据收集及分析,medium,岗位核心是质量管理，数据收集分析是辅助手段，属于辅助数字工具，因此得1分而非0分（有数据要求）或2分（非核心技术开发）,,
11,rule_model_threshold_conflict,2,1,熟练使用CAD及常用办公软件,岗位是现场代表，核心职责是工程现场管理，CAD和办公软件是辅助工具。移除这些工具后，现场管理职责仍成立，因此为1分。不是0分，因为明确要求使用CAD和办公软件；不是2分，因为不涉及软件开发或核心数字技术。,medium,1,熟练使用CAD及常用办公软件,medium,岗位核心是现场代表工作，CAD和办公软件是辅助工具，因此得1分而非0分（有软件要求）或2分（非核心开发）,,
23,stratified_fill,2,2,控制算法设计|算法实现|C/C++/Python编程|运动控制系统及控制算法设计,岗位核心是控制算法设计与实现，属于非AI专业算法，是核心数字技术。因此为2分，不是1分（算法是核心产出而非辅助工具），也不是3分（未涉及AI/ML）。,high,2,控制算法设计、算法实现|运动控制系统及控制算法设计,high,岗位核心是控制算法开发，属于核心数字技术，但未涉及AI/ML，因此得2分而非1分（辅助）或3分（AI研发）,,
25,rule_model_threshold_conflict,2,1,熟练运用电脑办公软件,岗位核心是工艺工程，使用办公软件是辅助工具，非核心产出。因此为1分，不是0分（明确要求使用办公软件），也不是2分（非软件开发或核心数字技术）。,medium,1,熟练运用电脑办公软件|自动化工艺,medium,岗位核心是工艺工程，办公软件和自动化工艺是辅助手段，属于辅助数字工具，因此得1分而非0分（有软件要求）或2分（非核心技术开发）,,
30,rule_model_threshold_conflict,3,1,熟练使用CAD、天正等软件,岗位核心是室内设计，CAD等软件是辅助设计工具，移除后设计工作仍可进行，因此为1分；未涉及软件开发或AI，故不是2或3分。,medium,1,熟练使用CAD、天正等软件,medium,岗位核心产出是室内设计，CAD是辅助设计工具，因此得1分而非0分（有软件要求）或2分（非技术开发）,,
47,stratified_fill,2,2,负责组织关键技术研究和攻关工作|负责大容量、高并发的应用产品或技术产品的架构设计、研发工作|精通Java EE相关技术、Spring、struts、iBatis等开源技术和框架,岗位核心是软件系统架构设计与研发，属于核心数字技术，因此为2分。不是3分，因为未明确涉及AI/ML。,high,2,负责大容量、高并发的应用产品或技术产品的架构设计、研发工作|精通Java EE相关技术,high,岗位核心是软件架构设计与研发，属于核心数字技术，未涉及AI/ML，因此得2分而非1分（辅助）或3分（AI研发）,,
56,rule_model_threshold_conflict,1,2,部门经营数据分析治理|系统性BI报表设计|健全管理数据支持模式,岗位核心职责包括数据分析治理和BI报表设计，属于数据系统建设，是核心数字技术产出，因此为2分；不是1分因为数据分析治理是核心职责而非辅助，不是3分因为未涉及AI/ML。,high,1,部门经营数据分析治理|系统性BI报表设计,high,岗位核心是客户销售与经营，数据分析与BI报表设计用于辅助销售管理，移除后岗位主要产出仍成立，数字工具为辅助；不属于核心技术开发，故非2分。,2.0,岗位明确将数据分析治理和BI报表设计列为核心职责，属于数据系统建设，技术为核心产出，故评为2分；不是1分因为数据治理是核心而非辅助，不是3分因为未涉及AI/ML。
71,rule_model_threshold_conflict,3,0,,岗位为综合金融与健康服务顾问，职责涉及法律、金融、保险等服务，未明示要求数字工具或技术。因此为0分，不是1分（无辅助数字工具要求）。,high,0,,high,岗位为金融服务顾问，职责涉及法律和金融产品销售，未明示要求数字工具、信息系统或AI技术，仅提及“深度学习能力”为软技能。,,
