review_id,岗位,岗位描述,岗位标签,human_score,technology_role,strict_ai,human_confidence,human_evidence,human_note,canonical_id,split,score,evidence,reason,confidence,label_status,model_score,score_delta_model_minus_human,exact_match,threshold_match,error_type
DEV-897F9C9162,layout工程师,"要求: 1、从事电源行业PCBlayout工作,二年以上工作经验; 2、了解布板需要的EMC、安规方面的要求。 工作内容: 1、配合硬件工程师、结构工程师完成PCBlayout工作。",,2,core,False,high,工作内容: 1、配合硬件工程师、结构工程师完成PCBlayout工作,该岗位的主要工作就是 PCB layout，并且要求有电源行业 PCB layout 工作经验。PCB 属于手册中“自动化和数字硬件”范围，岗位交付的是电子硬件/PCB 设计本身，而不是普通使用 CAD 或办公软件辅助其他主业。因此 technology_role 为 core，human_score 为 2。但原文没有出现机器学习、深度学习、模型训练、推理、评估、部署等严格 AI 职责，所以 strict_ai 为 false，不是 3 分。,594,development,1,从事电源行业PCBlayout工作,岗位为PCB layout工程师，使用EDA工具进行版图设计，但原文仅提及PCBlayout工作，未明确要求软件开发或AI技术。PCB layout是专业岗位，但工具使用属于辅助性质，核心产出是电路板设计。因此为1分，不是2分（未涉及软件开发或算法）。,medium,llm_primary,1,-1,False,False,threshold_false_negative
DEV-401879CD2D,公共资源运营(市场代表),"1、负责在管小区公共区域经营类合同发起、签订、归档等工作;2、完成各类合作商的招商、洽谈、回款管理;3、负责对经营类合同的管理及履行跟进合作方关系维护;4、负责各项目公共资源业务的管理督导、巡查及整改;5、负责台账的更新及日常数据运营任职资格:1、熟悉物业公司社区广告/公共资源运营管理业务,同岗位工作经验1-3年;2、大专及以上学历,物业、营销等相关专业;3、具备一定的抗压能力,执行力强,有良好的的商务谈判及开拓能力;",社区经营; 招商; 多经; 多种经营; 公共资源; 广告招商,1,auxiliary,False,medium,负责台账的更新及日常数据运营,该岗位的主要产出是小区公共区域经营类合同管理、招商洽谈、回款管理、合作方关系维护、公共资源业务督导巡查等物业/社区公共资源运营工作。原文中“负责台账的更新及日常数据运营”明示了数据或台账类工作，因此不宜判为完全没有数字线索的 0 分；但这里的数据运营明显是辅助物业公共资源运营和合同/招商管理的日常管理工具，不是独立建立数据指标体系、SQL 专题分析、数据产品、数据平台或统计模型等核心数字技术产出，所以判为 1 / auxiliary / false。原文没有 AI、机器学习、模型训练、推理、评估或部署职责，因此 strict_ai 为 false。,351,development,0,,岗位职责为公共资源运营和招商，未明示要求任何数字工具或技术，因此为0分；不是1分因为无办公软件等数字工具要求。,high,llm_primary,0,-1,False,True,within_threshold_under
DEV-E14CF1E15C,自动机装配钳工,"岗位职责:1.负责新产品样品试制、生产工具及非标自动化设备的调试与协助制作;2.完成项目工具、配件及零件的领用、安装、调试与试产跟踪。任职要求:1.10年以上自动化装配经验,有连接器、3C产品等行业项目经验;2.熟悉AutoCAD绘制零件图,精通气动、液压及传感器原理;3.15年以上非标自动机装配、调试、维修经验者优先。",电气机械制造,1,auxiliary,False,medium,岗位职责:1.负责新产品样品试制、生产工具及非标自动化设备的调试与协助制作,岗位主业是新产品试制、生产工具/非标自动化设备的装配、安装、调试、维修和试产跟踪，整体属于机械/自动化装配调试岗位。原文明示使用 AutoCAD 绘制零件图，所以不是 0 分；但 AutoCAD 只是辅助完成零件图和设备装配调试工作，原文没有明确 PLC 编程、控制系统开发、嵌入式、软件系统、数字硬件测试或自动化平台建设等核心数字技术交付，因此判 1 / auxiliary。没有 AI/机器学习模型职责。,242,development,2,"非标自动化设备的调试与协助制作|熟悉AutoCAD绘制零件图,精通气动、液压及传感器原理",非标自动化设备装配调试和传感器技术是核心产出，属于自动化核心数字技术，故评为2分；不是1分因为技术是核心而非辅助，不是3分因为未涉及AI/ML。,high,llm_adjudicated,2,1,False,False,threshold_false_positive
DEV-E569804685,24届星源管培生(能源三电),"工作职责:1、负责新能源/辅助驾驶领域的新技术研究,分析风险定价;2、负责新能源车险行业研究,分析行业发展及市场未来趋势,研究发展策略;3、负责新能源车企等合作伙伴对接,推动业务发展;4、负责新能源相关非车险业务定价及核保支持,参与搭建新能源相关风控体系与线上化建设工作。任职资格:1、2024届优秀本科毕业生,能源材料、能源工程、机电工程、能源动力、电气工程、电子信息、电子科学、材料科学与工程、机械类、光伏材料及应用等相关专业优先;2、良好的沟通能力、协作能力、学习能力和专业水平;3、取得自身专业相关的资格证书优先;4、有知名企业实习经验者优先;5、根据笔试及专业面试情况,双选分配至相关岗位。",,1,auxiliary,False,low,线上化建设,岗位主业是新能源车险行业研究、发展策略、合作伙伴对接、定价及核保支持，整体偏保险业务研究与业务推动；“线上化建设”明示了一定数字化工作，所以不完全是 none，但原文没有明确数据模型、金融定价算法、系统开发或数据平台建设等核心数字技术交付，不能直接判 core。没有 AI/机器学习模型职责，所以 strict_ai 为 false。,536,development,2,分析风险定价|参与搭建新能源相关风控体系与线上化建设工作,岗位涉及金融风险定价和线上化系统建设，属于核心数字技术产出；不是1分因技术是核心职责；不是3分因未明确涉及AI/ML。,medium,llm_adjudicated,2,1,False,False,threshold_false_positive
DEV-C7CCCA957F,电气设备工程师,"岗位详情:现场电气设备的“诊疗师”,快速分析解决现场设备故障,熟悉PLC、变频器等工作原理和简单编程,日常点检、电气备件管理、能源管理、推进设备改造升级等。学历要求:应届或往届本科生专业要求:电气自动化等相关专业。(强电)",电气自动化,2,core,False,medium,熟悉PLC、变频器等工作原理和简单编程,岗位主要职责是现场电气设备故障分析、PLC/变频器相关调试与简单编程、设备改造升级，自动化控制设备的诊断和编程能力已经构成岗位核心交付，不只是普通设备点检或使用工具，因此判 2 / core。但原文没有机器学习、深度学习、AI 模型训练/推理/部署等职责，所以 strict_ai=false。,202,development,1,熟悉PLC、变频器等工作原理和简单编程,电气设备工程师核心是设备故障诊断与维护，PLC和简单编程是辅助设备改造升级的工具，若移除这些技术，岗位核心产出仍成立，故为1分；不是2分因岗位不负责自动化系统开发等核心数字技术产出，不是0分因明确要求编程技能。,medium,llm_adjudicated,1,-1,False,False,threshold_false_negative
DEV-33F973059A,MEMS芯片开发工程师,"岗位职责:1.与MEMS芯片设计单位和生产单位进行技术对接;2.依据客户或公司对MEMS芯片的项目要求,提出芯片开发需求,制定芯片技术指标等;3.依据公司现有MEMS芯片的技术,提出并实施技术升级、产线改造、工艺优化等工作;4.依据公司质量管理标准和设计开发管理流程,承担MEMS产品设计开发项目相关的文档编制工作;5.跟踪MEMS芯片行业新材料、新工艺、新应用的最新发展趋势,用以提升公司MEMS芯片性能。任职要求:1.热爱MEMS产品研发工作,细致认真,责任心强,有良好的团队合作精神和动手能力;2.本科或以上学历,微电子、微机电系统等相关专业,熟悉MEMS产品开发及工艺流程,熟悉MEMS的封装、测试技术;3.MEMS产品开发三年以上工作经验,特别优秀者可适当放宽; 4.有较强的文字功底,能够独立编写项目报告、测试分析报告等。",MEMS芯片开发,0,none,False,medium,,原文主要是 MEMS 芯片开发需求、技术指标、技术升级、产线改造、工艺优化、封装测试和行业新材料/新工艺跟踪，属于 MEMS 产品研发与工艺技术管理。虽然出现“芯片”“微电子”“测试技术”等词，但没有明确写出数字芯片、PCB、嵌入式、电子系统开发、软件、数据、算法、自动化控制系统等本手册定义下的数字技术对象；因此不能直接认定为数字技术，更不能判 core。应判 0 / none / false。,326,development,2,MEMS芯片开发|MEMS产品设计开发|MEMS的封装、测试技术,岗位核心是MEMS芯片开发，涉及芯片设计、工艺和封装测试，属于核心数字技术（硬件/芯片），但未明确提及AI/ML，因此为2分；不是3分，因为无AI研发内容；不是1分，因为芯片开发是核心产出而非辅助工具。,high,llm_primary,2,2,False,False,threshold_false_positive
DEV-06D9DEC2C8,联合质量工程师(JQE),"岗位职责:1.质量过程控制:a)依据质量标准及相关规范,执行来料检验(IQC)、制程监控(IPQC)、成品审核(FQA)等质量活动审核,确保各阶段产品符合技术要求;b)对关键工序实施质量稽查,监督工艺参数执行情况,及时发现和推进解决生产中的质量和产能问题,确保产品的质量稳定性和产能达成,同时记录并分析质量数据定期提交质量报告;c)绩效监控:跟踪质量绩效,如不良率等,及时发现和推进解决潜在的质量问题;d)变更管理:依据客户变更管理要求,高效管理4M1E的变更,确保变更合理合规。2.质量问题解决:主导处理客户反馈的质量问题,组织内部相关部门进行原因分析,制定并实施有效的纠正和预防措施,跟踪验证措施的实施效果,确保问题得到彻底解决。协助客户进行质量问题的调查和分析,提供必要的技术支持和数据资料。3.质量改进与提升:参与质量管理体系建设和完善,提出改进建议和优化方案,推动质量管理水平的持续提升。定期学习客户的质量要求,将相关信息反馈给相关部门,促进产品质量的不断改进和优化。4.工业化落地推进:依据客户零部件工业化要求,参与IR方案评审、负责产能建设落地推进和协助AI项目推进,确保产能满足要求。5.沟通与协调:作为客户与企业的质量沟通接口,及时传递双方的质量信息和要求,协调解决双方在质量方面的问题和纠纷。定期与客户采购技术中心(PTC)责任TPM进行沟通和交流,汇报企业的质量状况和改进措施的实施情况,共同探讨质量提升的策略和方法。6.质量文化推广:协助推动SUPERQ质量文化推广。任职要求:1.具备相关专业的本科及以上学历,如机械工程、电子工程等,具有扎实的质量管理理论知识和专业技能。精通质量六大工具和方法,如APQP、PPAP、FMEA、MSA、SPC、8D等。2.工作经验:5年以上汽车行业主机厂或Tier1质量管理相关工作经验,熟悉质量管理体系和相关标准(ISO9001、IATF16949,VDA6.3等),有处理质量问题的实际经验和能力。",APQPFMEAIATF16949PPAP品质管理(QE)品质控制(QC)客户质量管理(CQE)开发质量工程师(DQE)VDA认证管理质量管理ai质量管理体系iqcipqctpm原因分析产品质量变更管理,1,auxiliary,False,medium,协助AI项目推进,岗位主业是汽车质量过程控制、质量问题处理、质量改进、客户沟通和工业化落地推进；原文虽出现“协助AI项目推进”和“质量数据分析”，但没有明确承担 AI 模型训练、推理、评估、部署，也没有数据平台、算法或系统开发职责。因此按“AI 项目协调/辅助”处理，判 1 / auxiliary，不是 core。,346,development,2,协助AI项目推进,岗位职责包含协助AI项目推进，但核心是质量工程，AI仅为协助推进，未明确要求AI研发，因此为2分；不是1分因为涉及AI项目推进，不是3分因为未明确AI/ML研发职责。,medium,llm_primary,2,1,False,False,threshold_false_positive
DEV-4419943DA4,结算业务岗,"有意者请到广发人才招聘网http://job.gf.com.cn/recruitment/social投递岗位。部门:结算与交易管理部岗位职责:1、负责公司法人结算系统的日终清算工作,核查、跟踪法人结算系统清算遗留问题,及时发现、报告、处理买空卖空事件,保证每日法人清算工作及时、准确完成;2、负责债券结算业务管理,对深沪企业债券托管库进行明细管理、对账及回购欠库监控,确保客户资产的安全与完整;3、负责债券回购业务统计及债券兑息兑付业务量等监管报表数据统计工作;4、负责债券市场专业投资者资格数据审核及申报工作;5、负责法人结算系统用户权限管理工作;6、负责法人结算相关系统需求分析、测试及维护等工作。任职资格:1、硕士研究生(含)以上学历,IT类专业,具有证券行业电脑或清算岗位工作经验的优先,条件优秀者可适当放宽;2、熟练掌握计算机软件、硬件及网络相关专业知识;掌握SQL SERVER或ORACLE数据库平台的开发和应用专业知识;熟练使用OFFICE办公软件;3、具有一定的沟通能力和较强的语言及文字表达能力;4、具有较强的责任心、协作精神和团队意识,工作认真严谨细致;诚实守信、性格开朗,刻苦耐劳、敬业爱岗、接受加班。",,1,auxiliary,False,medium,系统需求分析、测试及维护,从岗位职能看，核心工作是证券法人结算、债券结算、对账、监管报表、资格数据审核、权限管理等清算业务，数字系统主要是完成清算与结算管理的业务工具。虽然有“系统需求分析、测试及维护”等表述，但结合整体职责更像业务部门对结算系统的使用、反馈、测试和维护配合，而不是软件/数据库/系统开发运维岗位本身。因此更稳妥判 1 / auxiliary，不是 core；无 AI 模型职责，strict_ai 为 false。,209,development,2,负责法人结算相关系统需求分析、测试及维护等工作|掌握SQL SERVER或ORACLE数据库平台的开发和应用专业知识,岗位核心职责包括结算系统的需求分析、测试和维护，以及数据库开发应用，属于信息系统开发运维，因此为2分。不是1分，因为系统维护和数据库开发是核心产出而非辅助工具；不是3分，因为未涉及AI/ML研发。,high,llm_primary,2,1,False,False,threshold_false_positive
DEV-89CD76D832,硬件测试实习生,"学历要求:大专及以上; 专业要求:机械设计制造及其自动化、电气工程及其自动化、电子信息工程、电子科学与技术、电子信息科学与技术、自动化、测控技术与仪器、材料成型及控制工程、通信工程等 职业发展:实习生-助理工程师、工程师、主任工程师、高级工程师 岗位职责及要求: 对公司的产品按照要求进行相关的测试工作; 对于测试数据能进行统计、整理,并正确地分析测试数据的准确性。 使用各种测试设备(功率计、频谱仪、微波信号源、矢网)优先;",,1,auxiliary,False,medium,专业要求:机械设计制造及其自动化、电气工程及其自动化、电子信息工程、电子科学与技术、电子信息科学与技术、自动化、测控技术与仪器、材料成型及控制工程、通信工程等 职业发展:实习生-助理工程师、工程师、主任工程师、高级工程师 岗位职责及要求: 对公司的产品按照要求进行相关的测试工作,岗位主业是产品测试、测试数据统计整理和准确性分析；原文明示使用功率计、频谱仪、微波信号源、矢网等测试设备，所以不是完全没有数字/电子测试工具线索的 0 分。但它没有明确写出软件测试、数字硬件测试设计、自动化测试平台、协议测试、缺陷定位或电子系统开发调试等核心数字技术交付，更像使用现成测试设备完成一般产品测试，因此判 1 / auxiliary。没有 AI/机器学习模型职责。,611,development,0,,岗位描述仅要求使用物理测试设备（功率计、频谱仪等），未明示任何数字工具、软件或信息系统；数据统计整理未明确要求特定软件，移除潜在数字工具后测试工作仍可开展，因此为0分。,medium,llm_adjudicated,0,-1,False,True,within_threshold_under
DEV-A907BE8918,DCS专员,"1.负责生产过程中的自动化系统的管理操作。2.负责做好生产过程中相关参数记录,并形成合格的生产记录。职位要求:1.大专及以上学历,化工化学类相关专业;2.对化工生产行业有较强的职业意愿度,并愿意长期在本行业发展。3.有较好的工作态度和工作积极性,认真负责。",,0,none,False,medium,,岗位核心是化工生产过程操作、参数记录和生产记录形成，属于一般化工生产岗位；“自动化系统的管理操作”在这里没有进一步说明是 PLC/DCS/MES/数字控制系统维护、编程、调试或系统开发，只能理解为生产过程中使用设备或系统完成操作，不能直接认定为数字技术职责。因此应判 0 / none / false。,159,development,1,负责生产过程中的自动化系统的管理操作,岗位核心是化工生产操作，自动化系统管理是辅助生产过程的工具，不是开发或改造系统，因此为1分；不是0分因为明确要求操作自动化系统，不是2分因为不涉及系统开发或核心数字技术。,medium,llm_primary,1,1,False,True,within_threshold_over
