canonical_id,from_score,from_evidence,from_reason,to_score,to_evidence,to_reason,score_changed,crossed_main_threshold
1,0,,岗位职责为银行渠道维护、培训、市场活动和销售支持，未明示要求任何数字工具、信息系统、编程或AI技术。因此为0分，不是1分（无数字工具使用要求）。,0,,岗位职责为银行渠道维护、培训、市场活动、销售支持，未明示任何软件、数据、信息系统、编程或数字硬件等数字技术对象。仅凭“培训辅导”“售前支持”等泛词不能推断数字技术。,False,False
2,0,,岗位描述涉及材料工程的技术开发与项目管理，但未明示要求使用数字工具、软件、编程或AI技术。因此为0分，不是1分（无数字工具要求）。,0,,岗位涉及金属材料、高分子材料、化学钝化等传统材料工程，职责为技术开发、项目管理及技术支持，但未明示任何软件、数据、信息系统或数字硬件等数字技术对象。,False,False
3,0,,岗位职责为发电机组安装、故障诊断排除及水电维修，未明示要求使用数字工具、信息系统或编程。因此为0分，不是1分（无数字工具要求）。,0,,岗位职责为发电机组安装、故障诊断排除，要求电工证和工业配电经验，属于传统电气/机械技术，未明示软件、数据、编程或数字控制系统等数字技术对象。,False,False
4,0,,岗位职责为金融销售培训、课程安排和产品销售培训，未明示要求使用数字工具、信息系统或编程。因此为0分，不是1分（无数字工具要求）。,0,,岗位职责为金融销售培训、课程安排和产品培训，未明示任何数字工具、信息系统或软件等技术要求，仅凭“培训”不能推断数字技术。,False,False
5,2,FPGA逻辑开发|软硬件联调|FPGA逻辑架构的设计|Verilog/VHDL|FPGA时序优化、资源优化,岗位核心职责是FPGA逻辑开发与设计，属于核心数字技术（嵌入式/芯片逻辑），但未涉及AI/ML。因此为2分，不是1分（非辅助工具）或3分（无AI/ML）。,2,"负责项目和产品的FPGA逻辑开发及软硬件联调工作|负责项目和产品FPGA逻辑架构的设计工作,在原有FPGA代码基础上修改或重新编写控制软件无线电(SDR)芯片的部分代码|提出解决方案和组织算法研发工作的实施策略|熟练掌握Verilog/VHDL, FPGA时序优化、资源优化方法",岗位核心职责为FPGA逻辑开发、架构设计、代码编写及算法研发，属于明确的数字硬件和嵌入式开发，移除后岗位无法成立。虽提及算法研发，但未明确AI/ML，故为2分而非3分。,False,False
6,2,导航软件的维护及升级|卫星导航及惯性导航类应用软件的开发|VC开发环境|MFC进行开发|Windows API接口函数,岗位核心职责是软件开发，属于核心数字技术。因此为2分，不是1分（非辅助工具）或3分（无AI/ML）。,2,"负责部门现有导航软件的维护及升级|参与卫星导航及惯性导航类应用软件的开发|参与部门软件项目的开发|熟悉VC开发环境,能够使用MFC进行开发工作",岗位职责明确为导航软件的维护、升级和开发，属于软件开发核心交付，移除后岗位不成立。无AI/ML内容，故为2分。,False,False
7,0,,岗位职责为物业管理、费用收缴、团队管理等，未明示要求使用数字工具、信息系统或编程。因此为0分，不是1分（无数字工具要求）。,0,,岗位职责为物业管理、费用收缴、团队建设等，未明示任何数字工具、信息系统或软件要求，仅提及ISO9000体系但无具体数字技术对象。,False,False
8,2,量化评估|设计量化/估值模型|在险值计算模型|回测方法|MATLAB或其他数学和统计软件,岗位核心职责是金融量化模型开发，属于高级数字模型，但未明确涉及AI/ML。因此为2分，不是1分（非辅助工具）或3分（无AI/ML研发）。,2,"对权益类证券及其衍生品投资组合进行量化评估,包括设计量化/估值模型、盯市评估、系统实现、回测检验、压力测试、策略评估、编制量化报告等工作|熟练掌握权益类证券及衍生品的在险值计算模型、模型局限、回测方法|能够使用MATLAB或其他数学和统计软件",岗位核心产出为量化模型设计、系统实现和回测，属于金融量化建模，是核心数字技术交付。虽涉及模型，但为传统统计/估值模型，非AI/ML，故为2分而非3分。,False,False
9,1,销售订单ERP录入|熟练使用office办公软件,岗位核心是销售助理的订单、物流、库存、应收应付等业务操作，ERP和Office是辅助工具。移除这些工具后，销售助理的核心职责仍成立，因此为1分。不是0分，因为明确要求使用ERP和Office；不是2分，因为不涉及系统开发或核心数字技术产出。,1,销售订单ERP录入|熟练使用office办公软件,岗位主要产出是销售订单、物流、库存、应收应付等销售支持工作。ERP录入和Office使用是辅助工具，移除后销售助理职责仍成立，故为auxiliary。无AI相关职责。,False,False
10,1,日常质量数据收集及分析,岗位核心是质量工程师的质量体系维护、NCR调查、技术交底等，数据收集分析是辅助手段。移除数据分析后，质量工程师的主要职责仍成立，因此为1分。不是0分，因为明确涉及数据收集分析；不是2分，因为数据分析不是核心产出，而是辅助质量工作。,1,日常质量数据收集及分析|协助设计工程师编制设计软件包,岗位主要产出是质量体系维护、NCR调查、技术交底等质量工作。数据收集分析和协助编制软件包是辅助工具，移除后质量工程师职责仍成立，故为auxiliary。无AI相关职责。,False,False
