review_id,岗位,岗位描述,岗位标签,human_score,technology_role,strict_ai,human_confidence,human_evidence,human_note,canonical_id,split,model_technology_role,model_strict_ai,model_score,boundary_pair,model_evidence,model_reason,model_confidence,request_id,model,prompt_version,schema_version,prompt_fingerprint,stage,thinking,content_hash,label_status,input_tokens,output_tokens,score_delta_model_minus_human,error_type
DEV-1052C0F635,电子工程师/技术员(杭州区域),"1、本科,电子技术、电气、伺服控制、自动化相关专业,有较扎实的专业基本知识;2、英语四级以上有一定的听写能力;3、具有电气、电子产品维修及塑料机械、伺服控制等相关技术知识;有驾照者尤佳。4、欢迎优秀应届毕业前来应聘。5、本岗位的人员一经录用,先在宁波总公司上班并学习技术,学习完成后在杭州办事处上班。公司双休制,第一年月薪不低于3500,年底发年终奖金,享受旅游、年休假、生日礼券、各类节日福利,缴五险一金。有应聘意向者请直接投简历到本公司招聘邮箱。",,0,none,False,medium,,原文明示了“电子技术、电气、伺服控制、自动化相关专业”“电气、电子产品维修及塑料机械、伺服控制等相关技术知识”，但这些主要是电气/电子/机械维修与伺服控制的专业背景和技术知识要求，没有明确出现软件、系统、数据、编程、算法、嵌入式、PLC、数字控制系统开发/测试/运维等数字技术职责。因此不能仅凭“电子”“自动化”“伺服控制”判为核心数字技术。由于存在自动化/伺服控制的隐约技术线索，但岗位职责没有具体数字对象，置信度给 medium。,197,development,none,False,0,0_vs_1,,数字技术对象证据：岗位描述涉及电子技术、电气、伺服控制、塑料机械维修，但未明示软件、数据、信息系统、网络、编程、数字控制、嵌入式或 PCB 设计等数字技术对象。仅提及“电子技术”和“伺服控制”属于电气/自动化领域，但未具体到数字技术层面。反事实测试：岗位主要产出是电气/电子产品维修，不依赖数字技术。因此 technology_role 为 none。未达到 1 分是因为没有明确要求使用数字工具或系统。,medium,35e3af4efd400a885adc22ec9dd4077a8b9a996b41d65bc9ebadeedefe7460e9,deepseek-v4-pro,2.1.0,2.1.0,fe50e8bfe09d8f5694ad06060f7769936da63d1e8e09574df0507d6de37e28cb,development,False,7b50dfebc58d0a2a6934980ca851130f53002160acf9719268b71912cfac809d,llm_v2_1_development,4805,1483,0,match
DEV-3844F2B34A,千川优化运营,"岗位职责:1、负责巨量千川的直播间投放计划指定以及日常投放运营,提高各项转化指标;2、独立搭建信息流或视频账户结构,并善于从媒体人群画像和相关数据中寻求素材突破方向,具有评估和分析素材和页面搭配的能力;3,会简单制作出适用于投放的视频素材或者素材脚本,制定并执行广告投放计划,跟踪优化广告投放效果;4、在一定预算和周期内尽快优化账户,达到要求投入产出;5、定期对投放效果进行分析总结,优化评估,以数据为导向为产品制定精准推广策略。岗位要求:1、熟悉电商运营投放,了解千川的投放工作经验,有过鲁班、巨量、头条、Dou+ 广告投放经验者优先;2、熟练操作巨量引擎抖音平台推广账户后台;3、具备数据分析思维和分析能力,熟练掌握数据分析方法,精通Excel;4、对抖音上的商品有一定的总结和理解,了解用户需求,能收集用户反馈,分析用户行为并提升相关数据;5、责任心强,能够认真,细致的对待工作,善于团队合作。",抖音; 信息流; 优化账户; 投放运营; 广告投放; 巨量,1,auxiliary,False,high,"3、具备数据分析思维和分析能力,熟练掌握数据分析方法,精通Excel","熟练操作巨量引擎抖音平台推广账户后台;3、具备数据分析思维和分析能力,熟练掌握数据分析方法,精通Excel
判断理由: 原文明示了巨量千川/巨量引擎/抖音平台推广账户后台、数据分析、Excel 等数字工具和投放平台，但岗位主要产出是直播间广告投放运营、素材优化、推广策略制定和转化指标提升，属于运营/营销主业。数字平台和数据分析是投放运营的辅助工具，不是软件、系统、数据平台或算法模型本身的开发、建设、部署、运维，因此为 1 而非 2。未出现 AI/机器学习模型训练、推理、评估或部署职责，strict_ai 为 false。",410,development,core,False,2,1_vs_2,"负责巨量千川的直播间投放计划指定以及日常投放运营|独立搭建信息流或视频账户结构|具备数据分析思维和分析能力,熟练掌握数据分析方法,精通Excel|以数据为导向为产品制定精准推广策略",数字技术对象证据：原文明确要求使用巨量千川投放平台、搭建信息流账户、数据分析及Excel，这些数字工具和数据分析是岗位核心产出（广告投放优化）的直接手段。移除这些数字技术后，岗位主要产出无法成立，因此technology_role为core。未涉及AI/ML，strict_ai为false，对应2分。与1分的边界在于：不是仅使用Excel辅助报表，而是以数据分析和广告平台优化为核心产出。,high,b7d76b634ebc8ac3d5ed6faa12b501542d4f77c25c23ff17bdaf4f4db73e170a,deepseek-v4-pro,2.1.0,2.1.0,fe50e8bfe09d8f5694ad06060f7769936da63d1e8e09574df0507d6de37e28cb,development,False,cf54d2c08b441a4e641526553179da16e475809a8859d9512749a930e3dce42e,llm_v2_1_development,4858,1387,1,threshold_false_positive
DEV-03B7C5F137,电子硬件工程师(B0005),"1、根据产品需求制定硬件开发方案并对其方案进行可行性评估;2、制定工作计划,合理安排时间、按时保质保量完成任务;3、负责硬件架构设计,器件选型和验证,原理图和PCB设计,外壳设计或选型;4、单板和整机调试,并输出调试文档、改进方案及相关技术文档;5、制定老产品升级改造方案,以适应市场需要;6、对产品问题处理和修复;7、电子、通信、自动化及相关专业;8、2年以上电子产品硬件开发经验,有产品量产者优先;9、能熟练应用Altium Designer、Multisim、CAD、matlab等电子硬件开发相关软件;10、精通模拟电子技术、数字电子技术,具有独立设计产品的能力。如:AD/DA信号处理电路、驱动电路等单片机及外围电路的设计;11、了解安规、电磁兼容、高可靠性设计;12、能够熟练使用各种测试仪器(信号发生器,示波器等),有一定的文档编写能力;13、仪器仪表、工业控制、电机驱动设计者优先。",硬件开发; 硬件架构; 硬件; 电子技术,2,core,False,high,9、能熟练应用Altium Designer、Multisim、CAD、matlab等电子硬件开发相关软件,这个岗位不是单纯“使用软件辅助设计”，而是明确承担硬件开发方案、硬件架构设计、PCB 设计、单板和整机调试、电子产品硬件开发等职责。数字硬件/电子系统开发本身就是岗位主要产出，拿掉这些能力岗位无法成立，因此 technology_role 为 core，human_score 为 2。但原文没有出现机器学习、深度学习、模型训练、推理、评估、部署等严格 AI 职责，所以 strict_ai 为 false，不是 3 分。,602,development,core,False,2,1_vs_2,"负责硬件架构设计,器件选型和验证,原理图和PCB设计|精通模拟电子技术、数字电子技术,具有独立设计产品的能力",岗位明确要求原理图和PCB设计，属于数字技术对象（电子系统硬件开发），且是核心职责，移除后岗位不成立，因此technology_role为core。未涉及AI，strict_ai为false，对应2分。与1分的边界在于PCB设计是核心产出，而非辅助工具。,high,da93885804beeba46d61297ef227042c1999274041c5332b91075c8500a06cdc,deepseek-v4-pro,2.1.0,2.1.0,fe50e8bfe09d8f5694ad06060f7769936da63d1e8e09574df0507d6de37e28cb,development,False,e1c57c69d17f46aec269f6250deb4f8d9d9db791c4358c1e948b677f17b30b17,llm_v2_1_development,3796,672,0,match
DEV-832F5D8DF2,技术员,"岗位职责:图纸评审、产品工艺方案、报价、现场工艺指导,样品打样,批量技术指导等工作职责;岗位要求:2-3年略有经验机械加工技术员和压铸产品技术员。",做一休一; 五险一金; 年终双薪; 立即上岗; 包住宿; 节日福利; 交通补助,0,none,False,high,,原文只提到“图纸评审、产品工艺方案、报价、现场工艺指导、样品打样、批量技术指导”等机械加工/压铸工艺相关职责，没有明示软件、系统、数据、自动化、编程、算法、数字硬件或 AI 技术要求。“机械加工技术员”“压铸产品技术员”属于一般专业工艺技术岗位，不能仅凭“技术员”“图纸评审”加分。因此判为 0 / none / false。,41,development,none,False,0,0_vs_1,,岗位描述仅涉及机械加工和压铸产品的图纸评审、工艺方案、报价和现场指导，未明示任何数字技术对象（如软件、编程、数据、数字控制系统等）。因此 technology_role 为 none，score 0。边界在于是否出现数字工具，但原文无任何数字技术证据，故为 0_vs_1。,high,4ae247f93742790c10929a6f8d62a3907f197e7cc2137e2f4e5c7642bba6b480,deepseek-v4-pro,2.1.0,2.1.0,fe50e8bfe09d8f5694ad06060f7769936da63d1e8e09574df0507d6de37e28cb,development,False,4800a6a917937c8598b587d181220d10109e1c54600e0604947f9bbd26082157,llm_v2_1_development,5466,1453,0,match
DEV-8E1DAD7959,03611N-农险业务推动岗 (职位编号:03611N),"1、负责农业保险政策、资源、综合金融、扶贫资源研究管理2、负责整体农业保险发展策略制定及发展规划3、负责推动支持农业保险招标工作4、负责农网建设及规划,搭建农村保险销售服务网络5、负责制定分公司农村综合金融及扶贫发展策略6、负责推动分公司落实农村综合金融及涉农保险发展规划 任职资格:1、本科及以上学历,农业、金融管理、保险、气象遥感、精算、财务、数理统计或相近专业2、从事农险、数据、科技、企划、精算、机构销售等相关工作2年及以上工作经验优先3、具备农业管理工作知识能力及经验、具有组织推动能力,良好的沟通协作能力4、熟悉农险发展策略,熟悉政府招投标流程",,0,none,False,medium,,该岗位的主要职责是农业保险政策研究、发展策略制定、招投标推动、农村保险销售服务网络建设、综合金融及扶贫发展规划落实，本质上是农险业务规划、政策管理和组织推动岗位。虽然任职资格中出现了“气象遥感、精算、数理统计”“从事农险、数据、科技、企划、精算”等字样，但这些只是专业背景或经历偏好，没有明确要求使用数据系统、遥感平台、统计软件、算法模型或进行核心数据分析。因此不能仅凭“数据”“科技”“数理统计”等背景词加分。,163,development,none,False,0,none,,岗位职责为农险业务推动、策略制定、招标支持等，未明示任何数字工具、系统或编程要求。专业提及气象遥感、精算等，但未在职责中要求使用数字技术，因此为none，得0分。,high,f1bdb4619c75072bb41e2a36c07659cb1b33d208347e08dbae9c39edf8a9710d,deepseek-v4-pro,2.1.0,2.1.0,fe50e8bfe09d8f5694ad06060f7769936da63d1e8e09574df0507d6de37e28cb,development,False,90e92d6777882ee031db36d124cfd10912346b38cafc7b0a0f5a403150cd8965,llm_v2_1_development,4577,1150,0,match
DEV-7C1F17E7F6,配管工程师 (MJ000661),"岗位职责:1、熟练掌握配管设计的相关规范;2、根据工艺PID图,能独立完成三维配管;3、负责管道PR采买技术文件的编制;4、熟悉化工行业主流的三维配管软件如PDMS等的使用;任职资格:1、本科及以上学历,3年以上设计院设计工作经验;2、熟练掌握应力计算软件;3、熟练掌握该岗位相关的数据处理和办公软件;4、具有高度的工作热情,良好的团队合作精神。",配管设计; 设计院设计; pid图; pdms; 三维配管,1,auxiliary,False,high,3、熟练掌握该岗位相关的数据处理和办公软件,该岗位的主要产出是化工配管设计、图纸/PID 图理解、PR 采买技术文件编制、应力计算、三维配管设计，属于专业工程设计岗位。原文明示使用 PDMS 三维配管软件、应力计算软件、数据处理和办公软件，所以不是 0 分；但这些软件是辅助完成配管设计的专业工具，岗位并不负责开发、集成、运维 PDMS 系统，也不建设数字设计平台，因此为 1 分 auxiliary，不是 2 分 core。,52,development,auxiliary,False,1,1_vs_2,熟悉化工行业主流的三维配管软件如PDMS等的使用|熟练掌握应力计算软件|熟练掌握该岗位相关的数据处理和办公软件,岗位主要产出是配管设计、三维建模和采购技术文件编制，数字技术对象为 PDMS、应力计算软件和办公软件，但仅作为完成配管设计主业的工具。移除这些软件后，配管设计仍可通过其他方式完成，因此 technology_role 为 auxiliary。未出现 AI/ML，strict_ai 为 false，对应 score 1。边界在于是否为核心数字技术，但软件使用仅为辅助，故为 1_vs_2。,high,4ae247f93742790c10929a6f8d62a3907f197e7cc2137e2f4e5c7642bba6b480,deepseek-v4-pro,2.1.0,2.1.0,fe50e8bfe09d8f5694ad06060f7769936da63d1e8e09574df0507d6de37e28cb,development,False,4e5e02942da86a9399dc0e8b7147841e295c3c0f2ab0d903a19d545f240956b8,llm_v2_1_development,5466,1453,0,match
DEV-F860CD03D4,计算机信息技术人员,"任职要求:计算机相关专业毕业,有计算机硬件和网络维护能力,能熟悉路由器、交换机和防火墙等网络设备的工作原理、熟悉Win7、Win10等操作系统的安装与操作。工作职责及内容:负责公司电脑硬件设备(服务器、计算机、打印机、网络设备)的安装与维护、维护电脑设备台账及相关资料、设备保养、分配和回收。",计算机维护,2,core,False,high,计算机硬件和网络维护能力,手册里“数字技术”明确包括服务器、操作系统、网络配置、路由交换、防火墙、系统运维等内容。这个岗位不只是说“计算机相关专业毕业”，还写了“计算机硬件和网络维护能力”“路由器、交换机和防火墙”“Win7、Win10 操作系统的安装与操作”“服务器、计算机、打印机、网络设备的安装与维护”。这些已经是明确的数字对象和数字维护职责。如果原文只是：计算机相关专业毕业，维护电脑设备台账，设备保养、分配和回收。那我会倾向于 0 或 1，因为可能只是资产管理/行政设备管理。但它实际写的是：有计算机硬件和网络维护能力，熟悉路由器、交换机和防火墙，熟悉 Win7、Win10 操作系统安装，负责服务器、计算机、打印机、网络设备安装与维护。这就不是普通“会用电脑”或“专业背景”了，而是公司 IT 基础设施的安装维护。按照手册里的“服务器、操作系统、网络设备配置/运维/故障处理属于 core”的规则，应判 2 分，不是 0 分。,226,development,core,False,2,1_vs_2,负责公司电脑硬件设备(服务器、计算机、打印机、网络设备)的安装与维护|有计算机硬件和网络维护能力,数字技术对象证据：明确要求计算机硬件和网络维护，涉及服务器、网络设备等数字技术对象。反事实测试：移除这些硬件和网络维护能力，岗位主要产出（设备安装与维护）无法成立，因此 technology_role 为 core。未达到 3 分是因为没有 AI/ML；未达到 1 分是因为维护是核心职责。,high,35e3af4efd400a885adc22ec9dd4077a8b9a996b41d65bc9ebadeedefe7460e9,deepseek-v4-pro,2.1.0,2.1.0,fe50e8bfe09d8f5694ad06060f7769936da63d1e8e09574df0507d6de37e28cb,development,False,94efb71bd8d85a389d207c9d52e05505c1cc328e2014240c35dbd375bc07f9ae,llm_v2_1_development,4805,1483,0,match
DEV-AC33CDE99E,算法工程师,"岗位职责:1、 热爱公司,服从上级领导安排,遵守公司的各项管理制度,自觉维护公司利益;2、 根据团队要求,独立规划并完成所承担的研发等相关任务;3、基于项目控制任务要求,独立完成相应控制算法设计、算法实现及设备调试工作;4、负责项目控制系统需求分析、控制系统详细设计、控制系统仿真分析、测试方案设计;5、负责项目运动控制系统及控制算法设计、分析、实现与测试;6、撰写相关技术文档,指导协调项目工程师完成工作,根据各职能工程师反馈结果更新设计;7、积极挖掘和撰写专利;8、积极完成上级领导安排的临时任务。任职条件:1、本科(含)以上学历,计算机、数学、电子等相关专业。3年以上精密运动产品研发或具有相关项目经验的优秀应届硕士毕业生;2、具有一定的C/C++/Python编程与算法实现能力,深入了解实时系统;3、掌握自动化控制,机电机械装备、电气系统及其工作原理,具有机电装备运行调试、自动控制编程与实现等经验;4、具有扎实的数学功底,思路清晰;有很强的探索欲望与学习能力;良好的语言以及文字表达能力,善于编写技术文档;5、有多接点控制系统研发经验优先,熟悉控制系统IO延迟及处理方法优先。工作地址:成都市龙泉驿区经开区南四路931号(导航车城西一路经开区职工之家500米)公司在 二号线地铁站 设定“定制巴士”,上下班接送;公司免费提供食宿;",算法; C/C++; Python编程,2,core,False,high,5、负责项目运动控制系统及控制算法设计、分析、实现与测试,这个岗位的核心职责是控制算法设计、算法实现、控制系统仿真分析、运动控制系统及控制算法设计与测试，并且任职要求还明确提到 C/C++/Python 编程与算法实现能力、实时系统、自动控制编程与实现。这些不是普通使用软件辅助工作，而是算法和控制系统本身构成岗位主要产出，因此 technology_role 为 core，human_score 为 2。但这里的“算法”属于运动控制/自动控制/实时系统相关的传统控制算法，原文没有出现机器学习、深度学习、神经网络、模型训练、推理、评估、部署等严格 AI 证据。因此 strict_ai 为 false，不能判 3 分。,23,development,core,False,2,2_vs_3,完成相应控制算法设计、算法实现及设备调试工作|C/C++/Python编程与算法实现能力|运动控制系统及控制算法设计、分析、实现与测试,岗位明确要求控制算法设计、编程实现（C/C++/Python）和控制系统开发，数字技术对象为算法和编程。移除这些后，岗位主要产出（控制算法与系统）无法成立，因此 technology_role 为 core。未出现 AI/ML 相关职责，strict_ai 为 false，对应 score 2。边界在于是否涉及 AI，但无 AI 证据，故为 2_vs_3。,high,4ae247f93742790c10929a6f8d62a3907f197e7cc2137e2f4e5c7642bba6b480,deepseek-v4-pro,2.1.0,2.1.0,fe50e8bfe09d8f5694ad06060f7769936da63d1e8e09574df0507d6de37e28cb,development,False,9843a68b442cca152f9a641ba653b116ac2c2626080c039857b02f8a5e46de1c,llm_v2_1_development,5466,1453,0,match
DEV-B65292C552,销售员(兰州),"任职要求: 1、大专以上学历,电气自动化或相关专业毕业; 2、两年以上相关行业销售或行车电器维修、安装工作经验; 3、甘肃户籍人员优先。 工作职责: 负责区域内工业无线遥控产品的销售工作; 其他: 工作地址:甘肃兰州",直销销售,0,none,False,high,,原文的实际工作职责只有一句：“负责区域内工业无线遥控产品的销售工作”。岗位主要产出是区域销售，并没有明确要求使用数字工具、系统、软件、数据、算法、自动化平台，也没有要求承担无线遥控产品的安装、调试、维修、技术方案、系统配置或技术支持。任职要求中的“电气自动化或相关专业”“行车电器维修、安装工作经验”更多是专业背景或过往经验偏好，不等于当前岗位的明确数字职责。按照规则，“AI”“智能”“数据”等只在公司、品牌、产品或客户背景中出现时，不能因为产品听起来技术化就加分；一般销售如果没有明确数字工具/数字职责，应选 none。所以本题应判 0 分，不是 1 分,461,development,none,False,0,0_vs_1,,岗位是销售员，负责工业无线遥控产品销售。描述中提及“电气自动化或相关专业”和“行车电器维修、安装”，但未明示任何数字技术对象（如软件、数据、编程、数字控制、嵌入式等）。无线遥控产品本身是电气/工业产品，未要求数字技术能力。移除数字技术后，销售主业仍成立。因此technology_role为none，score为0。相邻等级0_vs_1：无数字工具使用要求，故不为1。,high,facda2f1281b52641b4eb2d726953b255b2a8aef427e610768ccc249f6def2ad,deepseek-v4-pro,2.1.0,2.1.0,fe50e8bfe09d8f5694ad06060f7769936da63d1e8e09574df0507d6de37e28cb,development,False,8f822f15d46240925a020b4698bba219e5e18bbeaf384ca1faac90d7b42df70a,llm_v2_1_development,3212,182,0,match
DEV-897F9C9162,layout工程师,"要求: 1、从事电源行业PCBlayout工作,二年以上工作经验; 2、了解布板需要的EMC、安规方面的要求。 工作内容: 1、配合硬件工程师、结构工程师完成PCBlayout工作。",,2,core,False,high,工作内容: 1、配合硬件工程师、结构工程师完成PCBlayout工作,该岗位的主要工作就是 PCB layout，并且要求有电源行业 PCB layout 工作经验。PCB 属于手册中“自动化和数字硬件”范围，岗位交付的是电子硬件/PCB 设计本身，而不是普通使用 CAD 或办公软件辅助其他主业。因此 technology_role 为 core，human_score 为 2。但原文没有出现机器学习、深度学习、模型训练、推理、评估、部署等严格 AI 职责，所以 strict_ai 为 false，不是 3 分。,594,development,core,False,2,1_vs_2,从事电源行业PCBlayout工作|配合硬件工程师、结构工程师完成PCBlayout工作,岗位明确要求从事PCBlayout工作，属于数字技术对象（PCB设计），且是岗位主要产出，移除后岗位不成立，因此technology_role为core。未涉及AI，strict_ai为false，对应2分。与1分的边界在于PCB设计是核心数字技术工作，而非辅助工具使用。,high,da93885804beeba46d61297ef227042c1999274041c5332b91075c8500a06cdc,deepseek-v4-pro,2.1.0,2.1.0,fe50e8bfe09d8f5694ad06060f7769936da63d1e8e09574df0507d6de37e28cb,development,False,20b5b2c2cb771ff20217b3c2f43801e3e7cab589dbd629bd1f4a7cc8ff249e72,llm_v2_1_development,3796,672,0,match
