canonical_id,selection_reason,rule_score,primary_score,primary_evidence,primary_reason,primary_confidence,audit_score,audit_evidence,audit_confidence,audit_reason,adjudicated_score,adjudication_reason
6,rule_model_threshold_conflict,0,2,"负责部门现有导航软件的维护及升级|参与卫星导航及惯性导航类应用软件的开发|参与部门软件项目的开发|熟悉VC开发环境,能够使用MFC进行开发工作",岗位职责明确为导航软件的维护、升级和开发，属于软件开发核心交付，移除后岗位不成立。无AI/ML内容，故为2分。,high,2,负责部门现有导航软件的维护及升级|参与卫星导航及惯性导航类应用软件的开发|参与部门软件项目的开发,high,明确承担导航软件开发、维护等核心交付，移除后岗位不成立，且未涉及AI/ML，故为2分。,,
8,rule_model_threshold_conflict,0,2,"对权益类证券及其衍生品投资组合进行量化评估,包括设计量化/估值模型、盯市评估、系统实现、回测检验、压力测试、策略评估、编制量化报告等工作|熟练掌握权益类证券及衍生品的在险值计算模型、模型局限、回测方法|能够使用MATLAB或其他数学和统计软件",岗位核心产出为量化模型设计、系统实现和回测，属于金融量化建模，是核心数字技术交付。虽涉及模型，但为传统统计/估值模型，非AI/ML，故为2分而非3分。,high,2,"对权益类证券及其衍生品投资组合进行量化评估,包括设计量化/估值模型、盯市评估、系统实现、回测检验、压力测试、策略评估",medium,量化模型与系统实现是核心交付，无AI/ML词，传统金融量化模型非严格AI，故为2分。,,
10,stratified_fill,0,1,日常质量数据收集及分析|协助设计工程师编制设计软件包,岗位主要产出是质量体系维护、NCR调查、技术交底等质量工作。数据收集分析和协助编制软件包是辅助工具，移除后质量工程师职责仍成立，故为auxiliary。无AI相关职责。,medium,1,日常质量数据收集及分析,medium,数据收集分析仅为辅助质量工作，移除后岗位仍可完成质量体系等主业，未承担系统开发运维，故为1分。,,
11,rule_model_threshold_conflict,2,1,熟练使用CAD及常用办公软件,岗位主要产出是工程造价、安全、新能源等专业技术工作。CAD和办公软件是辅助工具，移除后现场代表职责仍成立，故为auxiliary。无AI相关职责。,medium,0,,medium,岗位职责未描述，任职要求中CAD和办公软件仅为资格要求，无明确数字职责交付，不得据推测加分。,0.0,原文仅任职资格要求“熟练使用CAD及常用办公软件”，未描述岗位职责，无法确定数字技术的使用性质，故为无明示数字技术。
23,stratified_fill,2,2,控制算法设计、算法实现及设备调试|C/C++/Python编程与算法实现|控制系统仿真分析,核心职责为控制算法设计、实现、仿真与测试，属于传统算法研发，移除后岗位无法成立；未出现AI/ML语义，故为2分。,high,2,独立完成相应控制算法设计、算法实现及设备调试工作|控制系统仿真分析|运动控制系统及控制算法设计、分析、实现与测试,high,控制算法设计与实现是岗位核心产出，非AI/ML，属传统算法，故为2分。,,
25,rule_model_threshold_conflict,2,1,熟练运用电脑办公软件,岗位职责为生产流程制定、SOP维护、不良品分析、良率提升等，电脑办公软件仅作为辅助工具，移除后工艺工程师主业仍成立。,medium,1,熟练运用电脑办公软件,medium,仅使用办公软件辅助工艺工作，无数字系统开发运维等核心交付，自动化工艺表述泛化不构成数字对象，故为1分。,,
30,rule_model_threshold_conflict,3,1,熟练使用CAD、天正等软件,岗位为室内设计师，主要产出是设计方案和图纸，CAD等软件仅作为设计工具辅助主业，移除后设计工作仍成立，故为auxiliary。无AI相关职责。,medium,1,熟练使用CAD、天正等软件,medium,CAD等专业设计软件仅辅助室内设计主业，非开发或数字系统运维，故为1分。,,
47,stratified_fill,2,2,"负责大容量、高并发的应用产品或技术产品的架构设计、研发工作|精通Java EE相关技术、Spring、struts、iBatis等开源技术和框架|熟悉linux操作系统,熟练运用关系数据库(Oracle、mysql",岗位为系统架构师，核心职责是软件架构设计、研发、性能测试等，明确涉及软件开发、数据库、分布式系统等数字技术，且为主要产出。未出现AI/ML相关职责，因此strict_ai为false，score为2。,high,2,大容量、高并发的应用产品或技术产品的架构设计、研发工作|产品的整体架构设计、原型设计及部分核心功能的开发工作,high,软件架构设计与核心开发是岗位主要产出，无AI/ML内容，故为2分。,,
56,rule_model_threshold_conflict,1,2,"部门经营数据分析治理;系统性BI报表设计|协助销售总监搭建“一表一会”制度体系,健全管理数据支持模式",数字技术对象为经营数据分析治理和BI报表设计，构成岗位主要产出。移除后，数据治理和报表体系无法交付，故为核心。未涉及AI/ML，仅为数据分析和报表，不构成严格AI。,high,2,部门经营数据分析治理;系统性BI报表设计|健全管理数据支持模式,high,岗位明确承担经营数据治理和系统性BI报表体系设计，数据交付本身是核心职责，移除后岗位职能不完整，故为core；非单纯使用数据工具辅助销售。,,
71,rule_model_threshold_conflict,3,0,,岗位职责为提供法律、金融、健康等综合服务，未明示任何数字工具、软件、数据或系统要求。虽然提及“线上化”等概念，但未在岗位职责中明确数字技术交付，故technology_role为none。,high,0,,high,原文仅涉及金融服务销售，未明示任何数字工具、信息系统或数据技术要求，‘深度学习能力’指个人能力非AI。,,
